cluster,observer_path,observer_label_values,observer_type,observer_value_class,observer_sample,observer_n_files,viewpoint_path,viewpoint_short_label,viewpoint_long_label,viewpoint_type,viewpoint_value_class,viewpoint_sample,viewpoint_n_files,notes
biometry,fetuses[].measurements[].label,CRL,str,coded_text,CRL,1/5,,,,,,,,
biometry,fetuses[].measurements[].label,Cerebellum,str,coded_text,Cerebellum,1/5,,,,,,,,
biometry,fetuses[].measurements[].label,Femur,str,coded_text,Femur,4/5,,,,,,,,
biometry,fetuses[].measurements[].label,HC,str,coded_text,HC,4/5,,,,,,,,
biometry,fetuses[].measurements[].label,Humerus,str,coded_text,Humerus,2/5,,,,,,,,
biometry,fetuses[].measurements[].label,Nuchal Fold,str,coded_text,Nuchal Fold,1/5,OBX NeckSkinFetus.FetalAnatomyNuchalFoldAppearance,Nuchal fold,Nuchal fold appearance,str (ST),coded_text,abnormal,1/7,
biometry,fetuses[].measurements[].percentile_for_display,AC,str,percentile,56%|50%|73%|88%,4/5,,,,,,,,
biometry,fetuses[].measurements[].percentile_for_display,BPD,str,percentile,51%|53%|>95%|42%,4/5,,,,,,,,
biometry,fetuses[].measurements[].percentile_for_display,CRL,str,empty,,1/5,,,,,,,,
biometry,fetuses[].measurements[].percentile_for_display,Cerebellum,str,empty,,1/5,,,,,,,,
biometry,fetuses[].measurements[].percentile_for_display,Femur,str,percentile,47%|34%|39%|18%,4/5,,,,,,,,
biometry,fetuses[].measurements[].percentile_for_display,HC,str,percentile,43%|5%|16%|35%,4/5,,,,,,,,
biometry,fetuses[].measurements[].percentile_for_display,Humerus,str,percentile,49%|64%,2/5,,,,,,,,
biometry,fetuses[].measurements[].percentile_for_display,Nuchal Fold,str,empty,,1/5,,,,,,,,
biometry,fetuses[].measurements[].print_in_report,AC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].print_in_report,BPD,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].print_in_report,CRL,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].print_in_report,Cerebellum,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].print_in_report,Femur,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].print_in_report,HC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].print_in_report,Humerus,int,integer,1,2/5,,,,,,,,
biometry,fetuses[].measurements[].print_in_report,Nuchal Fold,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].unit_of_measure,AC,str,coded_text,cm,4/5,,,,,,,,
biometry,fetuses[].measurements[].unit_of_measure,BPD,str,coded_text,cm,4/5,,,,,,,,
biometry,fetuses[].measurements[].unit_of_measure,CRL,str,coded_text,mm,1/5,,,,,,,,
biometry,fetuses[].measurements[].unit_of_measure,Cerebellum,str,coded_text,cm,1/5,,,,,,,,
biometry,fetuses[].measurements[].unit_of_measure,Femur,str,coded_text,cm,4/5,,,,,,,,
biometry,fetuses[].measurements[].unit_of_measure,HC,str,coded_text,cm,4/5,,,,,,,,
biometry,fetuses[].measurements[].unit_of_measure,Humerus,str,coded_text,cm,2/5,,,,,,,,
biometry,fetuses[].measurements[].unit_of_measure,Nuchal Fold,str,coded_text,cm,1/5,,,,,,,,
biometry,fetuses[].measurements[].value,AC,float,decimal,22.62|19.12|32.3|25.5,4/5,,,,,,,,
biometry,fetuses[].measurements[].value,BPD,float|int,decimal|integer,6.68|5.81|9.31|7,4/5,,,,,,,,
biometry,fetuses[].measurements[].value,CRL,float,decimal,4.48,1/5,,,,,,,,
biometry,fetuses[].measurements[].value,Cerebellum,int,integer,3,1/5,,,,,,,,
biometry,fetuses[].measurements[].value,Femur,float,decimal,5.01|4.14|6.92|5.1,4/5,,,,,,,,
biometry,fetuses[].measurements[].value,HC,float|int,decimal|integer,25|20.31|31.62|26.2,4/5,,,,,,,,
biometry,fetuses[].measurements[].value,Humerus,float,decimal,3.9|6.2,2/5,,,,,,,,
biometry,fetuses[].measurements[].value,Nuchal Fold,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].ratios,,null,empty,,1/5,,,,,,,,
